Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S99418250,Snow Goose,Anser caerulescens,242,1,US-CT,Fairfield,L473325,Seaside Park,41.1615162,-73.1931067,2021-12-25,02:50 PM,eBird - Traveling Count,69,1,7.467,,1,,,,398940741
S97969115,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),277,2,US-RI,Kent,L634993,Apponaug Cove,41.6953469,-71.4527607,2021-11-23,10:59 AM,eBird - Traveling Count,43,1,.885,,2,,"one white, one graylag-like"
S99591623,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),277,2,US-RI,Kent,L634993,Apponaug Cove,41.6953469,-71.4527607,2021-12-28,03:16 PM,eBird - Traveling Count,35,1,1.094,,2
S96637647,Brant,Branta bernicla,279,250,US-RI,Kent,L687632,Conimicut Point Park,41.7167491,-71.360321,2021-10-24,08:59 AM,eBird - Traveling Count,68,1,1.577,,2
S97966634,Brant,Branta bernicla,279,50,US-RI,Kent,L687632,Conimicut Point Park,41.7167491,-71.360321,2021-11-23,10:13 AM,eBird - Traveling Count,18,1,.708,,2
S87294308,Brant,Branta bernicla,279,14,US-CT,New London,L1595593,Goshen Cove,41.303347,-72.1201248,2021-05-06,07:02 PM,eBird - Traveling Count,27,1,.418,,2
S87419419,Brant,Branta bernicla,279,4,US-CT,New London,L1595593,Goshen Cove,41.303347,-72.1201248,2021-05-08,08:43 AM,eBird - Traveling Count,52,1,.917,,1
S79833344,Brant,Branta bernicla,279,45,US-CT,New London,L297947,Harkness Memorial SP,41.3014861,-72.1119044,2021-01-24,12:06 PM,eBird - Traveling Count,60,1,1.481,,2
S83755250,Brant,Branta bernicla,279,70,US-CT,New London,L297947,Harkness Memorial SP,41.3014861,-72.1119044,2021-03-20,12:54 PM,eBird - Traveling Count,68,1,1.996,,2
S87293887,Brant,Branta bernicla,279,38,US-CT,New London,L297947,Harkness Memorial SP,41.3014861,-72.1119044,2021-05-06,05:36 PM,eBird - Traveling Count,85,1,2.301,,2,,,,397201261
S87430204,Brant,Branta bernicla,279,50,US-CT,New London,L297947,Harkness Memorial SP,41.3014861,-72.1119044,2021-05-08,09:38 AM,eBird - Traveling Count,52,1,1.931,,1
S95144974,Canada Goose,Branta canadensis,303,10,US-RI,Bristol,L613147,Colt State Park,41.6806368,-71.3021922,2021-09-25,10:39 AM,eBird - Traveling Count,80,1,3.138,,2
S99197467,Canada Goose,Branta canadensis,303,X,US-MA,Bristol,L1431929,Dighton Rock SP,41.8117549,-71.106309,2021-12-20,03:00 PM,eBird - Traveling Count,78,1,.209,,2
S99418250,Canada Goose,Branta canadensis,303,300,US-CT,Fairfield,L473325,Seaside Park,41.1615162,-73.1931067,2021-12-25,02:50 PM,eBird - Traveling Count,69,1,7.467,,1
S97969115,Canada Goose,Branta canadensis,303,100,US-RI,Kent,L634993,Apponaug Cove,41.6953469,-71.4527607,2021-11-23,10:59 AM,eBird - Traveling Count,43,1,.885,,2
S99591623,Canada Goose,Branta canadensis,303,100,US-RI,Kent,L634993,Apponaug Cove,41.6953469,-71.4527607,2021-12-28,03:16 PM,eBird - Traveling Count,35,1,1.094,,2
S85268075,Canada Goose,Branta canadensis,303,3,US-CT,Middlesex,L14406548,"Connecticut River, East Haddam, Connecticut, US (41.451, -72.465)",41.4513675,-72.4652205,2021-04-10,09:50 AM,eBird - Traveling Count,75,1,9.093,,2,,,Riverquest Eagle/Osprey tour - north of swing bridge
S85268326,Canada Goose,Branta canadensis,303,3,US-CT,Middlesex,L14406548,"Connecticut River, East Haddam, Connecticut, US (41.451, -72.465)",41.4513675,-72.4652205,2021-04-10,11:05 AM,eBird - Traveling Count,82,1,12.392,,2,ON Occupied Nest,"2 flyover, 1 on nest on bottom of a navigational point",Riverquest Eagle/Osprey tour - south of swing bridge
S95371593,Canada Goose,Branta canadensis,303,8,US-CT,Middlesex,L14406548,"Connecticut River, East Haddam, Connecticut, US (41.451, -72.465)",41.4513675,-72.4652205,2021-09-29,04:33 PM,eBird - Traveling Count,136,1,2.881,,2,,,Swallow Cruise aboard Riverquest. Accidentally ended track early. Went about 16 miles south on the CT River down to phragmites near the 95 bridge in Old Saybrook to see the tree swallows come in to roost.
S86853935,Canada Goose,Branta canadensis,303,2,US-CT,New Haven,L109239,Bent of the River Sanctuary,41.4700009,-73.25881,2021-05-01,05:31 PM,eBird - Traveling Count,81,1,2.14,,1,,distant calls of at least 2
S78419533,Canada Goose,Branta canadensis,303,6,US-CT,New Haven,L298379,Hammonasset Beach SP,41.2619859,-72.5548234,2021-01-01,01:26 PM,eBird - Traveling Count,152,1,5.778,,2,,"2 groups of 3. one group in marshland, one group on rocks by Meig's Point"
S86743803,Canada Goose,Branta canadensis,303,2,US-CT,New Haven,L298379,Hammonasset Beach SP,41.2619859,-72.5548234,2021-04-30,09:54 AM,eBird - Traveling Count,27,1,.821,,1,,,Meig's Point parking lot area
S87464719,Canada Goose,Branta canadensis,303,3,US-CT,New Haven,L298379,Hammonasset Beach SP,41.2619859,-72.5548234,2021-05-08,12:03 PM,eBird - Traveling Count,56,1,1.722,,1,,,Willard's
S87475386,Canada Goose,Branta canadensis,303,2,US-CT,New Haven,L298379,Hammonasset Beach SP,41.2619859,-72.5548234,2021-05-08,01:19 PM,eBird - Traveling Count,27,1,.515,,1,,,Swan pond
S98955586,Canada Goose,Branta canadensis,303,50,US-CT,New Haven,L298379,Hammonasset Beach SP,41.2619859,-72.5548234,2021-12-16,08:48 AM,eBird - Traveling Count,164,1,7.049,,1
S86745403,Canada Goose,Branta canadensis,303,1,US-CT,New Haven,L1150714,West River Park,41.3085351,-72.9544115,2021-04-30,02:07 PM,eBird - Traveling Count,32,1,.531,,1
S83755169,Canada Goose,Branta canadensis,303,10,US-CT,New London,L1595593,Goshen Cove,41.303347,-72.1201248,2021-03-20,12:15 PM,eBird - Traveling Count,36,1,.644,,2
S87419419,Canada Goose,Branta canadensis,303,2,US-CT,New London,L1595593,Goshen Cove,41.303347,-72.1201248,2021-05-08,08:43 AM,eBird - Traveling Count,52,1,.917,,1
S95940201,Canada Goose,Branta canadensis,303,6,US-CT,New London,L1595593,Goshen Cove,41.303347,-72.1201248,2021-10-10,04:31 PM,eBird - Traveling Count,12,1,.322,,1
S95943930,Canada Goose,Branta canadensis,303,20,US-CT,New London,L297947,Harkness Memorial SP,41.3014861,-72.1119044,2021-10-10,04:53 PM,eBird - Traveling Count,47,1,1.802,,1
S88416696,Canada Goose,Branta canadensis,303,2,US-NC,Onslow,L11997910,"New River Inlet Road (sound side), North Topsail Beach, North Carolina, US",34.5187654,-77.3657226,2021-05-17,07:01 PM,eBird - Traveling Count,32,1,.579,,1
S87913040,Canada Goose,Branta canadensis,303,6,US-NC,Pender,L14896797,"420 Fun Center Drive, Hampstead, North Carolina, US (34.448, -77.565)",34.4482651,-77.5647648,2021-05-12,01:07 PM,eBird - Casual Observation,,0,,,1,FL Recently Fledged Young
S96228949,Canada Goose,Branta canadensis,303,18,US-RI,Providence,L216062,Bold Point,41.8144807,-71.3901623,2021-10-16,12:38 PM,eBird - Traveling Count,19,1,.37,,2
S96234323,Canada Goose,Branta canadensis,303,24,US-RI,Providence,L1139391,"East Bay Bike Path, East Providence",41.7959681,-71.3778949,2021-10-16,01:06 PM,eBird - Traveling Count,78,1,3.074,,2
S99818185,Canada Goose,Branta canadensis,303,X,US-RI,Providence,L15422109,Federal Way,41.8203711,-71.5015284,2022-01-01,08:53 AM,eBird - Casual Observation,,0,,,1,,,Morning heard species
S99520373,Canada Goose,Branta canadensis,303,3,US-RI,Providence,L8596244,India Point Park,41.8172568,-71.3903618,2021-12-27,12:04 PM,eBird - Traveling Count,61,1,1.175,,2
S99287590,Canada Goose,Branta canadensis,303,25,US-RI,Providence,L4377381,Pocasset Cemetery,41.8028945,-71.4596379,2021-12-22,03:33 PM,eBird - Traveling Count,25,1,.628,,2
S99242534,Canada Goose,Branta canadensis,303,9,US-RI,Providence,L2526644,Save The Bay Center & Coastal Greenway,41.7857568,-71.3817573,2021-12-21,02:26 PM,eBird - Traveling Count,92,1,1.77,,2
S94504585,Canada Goose,Branta canadensis,303,40,US-RI,Providence,L12289642,Snake Den Farm,41.8444131,-71.5421457,2021-09-11,08:09 AM,eBird - Traveling Count,125,1,2.382,,1
S95371599,Canada Goose,Branta canadensis,303,10,US-RI,Providence,L12289642,Snake Den Farm,41.8444131,-71.5421457,2021-09-26,08:45 AM,eBird - Traveling Count,74,1,1.625,,2
S95907888,Canada Goose,Branta canadensis,303,20,US-RI,Providence,L12289642,Snake Den Farm,41.8444131,-71.5421457,2021-10-10,07:13 AM,eBird - Traveling Count,125,1,2.977,,1
